Instrucciones: El documento se divide para dos discos diferentes (Amarillo y Azul),
los datos deben trabajarse en una hoja de calculos, como las de excel.

Distancia horizontal de referencia [pixeles]: 851
Distancia horizontal de referencia [milimetros]: 180
Distancia vertical de referencia [pixeles]: 480
Distancia vertical de referencia [milimetros]: 322

Yellow Values
Time [seconds];position x[pixel];position y[pixel]
0.06600379943847656;521;446
0.17100977897644043;521;448
0.2780160903930664;520;450
0.37502145767211914;519;452
0.47502732276916504;518;453
0.5710327625274658;517;454
0.6780388355255127;517;455
0.7750444412231445;515;457
0.8750500679016113;512;462
0.9710557460784912;509;467
1.082061767578125;505;472
1.1750671863555908;503;475
1.2750730514526367;501;478
1.3670783042907715;499;481
1.4810848236083984;495;485
1.5750901699066162;491;490
1.675095796585083;487;494
1.771101474761963;483;497
1.8781075477600098;479;500
1.9751129150390625;475;503
2.0711185932159424;472;507
2.163123846054077;465;511
2.282130479812622;455;519
2.375135898590088;442;526
2.4661409854888916;430;532
2.5811476707458496;417;538
2.6741530895233154;407;541
2.7731587886810303;399;544
2.866163969039917;390;545
2.9621694087982178;381;547
3.0731759071350098;371;549
3.1721816062927246;362;549
3.2711873054504395;356;550
3.3711929321289062;349;550
3.4821994304656982;345;549
3.575204610824585;343;550
3.6722099781036377;340;549
3.7682156562805176;337;550
3.8782219886779785;334;549
3.9752273559570312;330;549
4.082233667373657;328;549
4.168238401412964;327;548
4.283245086669922;327;548
4.379250526428223;326;548
4.471255779266357;324;548
4.567261219024658;321;548
4.679267644882202;321;548
4.775273323059082;321;548
4.875278949737549;321;548
4.9622838497161865;321;548
5.0822906494140625;321;548
5.178296327590942;321;548
5.266301155090332;320;547
5.38130784034729;319;548
5.474313259124756;319;547
5.570318698883057;319;547
5.6663243770599365;319;547
5.762329578399658;317;547
5.873335838317871;315;546
5.974341630935669;311;546
6.066347122192383;303;544
6.162352800369263;292;541
6.280359268188477;277;536
6.370364427566528;260;528
6.466369867324829;246;520
6.562375545501709;234;512
6.673381567001343;225;505
6.770387172698975;216;497
6.8663928508758545;204;484
6.962398290634155;190;466
7.085405588150024;179;447
7.170410394668579;172;432
7.266415596008301;167;420
7.362421274185181;164;411
7.4734275341033936;163;407
7.574433326721191;162;403
7.674438953399658;161;400
7.767444372177124;160;397
7.879450559616089;159;393
7.976456165313721;159;392
8.070461750030518;159;390
8.16746711730957;158;389
8.282473802566528;159;389
8.375478982925415;158;388
8.47548508644104;159;388
8.562489748001099;158;388
8.673496007919312;158;389
8.778502225875854;158;389
8.874507665634155;159;388
8.970513105392456;158;388
9.073519229888916;158;387
9.1785249710083;158;386
9.2675302028656;158;384
9.36253547668457;157;382
9.476541996002197;157;380
9.573547601699829;157;376
9.667553186416626;157;371
9.763558387756348;156;368
